name,ik,standortnummer,anzahl_standorte,strasse,hausnummer,plz,ort,telefon,email,betten,vollstationaere_fallzahl,teilstationaere_fallzahl,ambulante_fallzahl,staeb_fallzahl,traeger_name,traeger_art,lehrkrankenhaus,universitaet,notfallstufe,notdienst,notdienstpraxis,hat_bg_zulassung,hat_darzt,hat_dialyse,hat_onkologie,hat_radiologie,hat_intensivmedizin,hat_notaufnahme,hat_psychiatrie,hat_geriatrie,anzahl_fachabteilungen,fachabteilungen,fachabteilung_schluessel,apparative_ausstattung,url_zugang,url_internetseite,url_weitere_infos
Klinikum Nordfriesland gGmbH,260100476,772465000,2,Erichsenweg,16,25813,Husum,+494841-660-0,husum@klinikum-nf.de,263,12309,290,15115,0,Kreis Nordfriesland,öffentlich,Ja,Universität Hamburg,,ja,ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Ja,10,"Anästhesiologie, Intensiv- und Notfallmedizin; Urologie; Innere Medizin; Allgemein-, Viszeral- und Thoraxchirurgie; Frauenheilkunde und Geburtshilfe; Geriatrie; Unfallchirurgie, Orthopädie und Wirbelsäulenchirurgie; Kardiologie; Gefäßchirurgie; Dialysezentrum",,AA22; AA23; AA57; AA32; AA33; AA18; AA47; AA50; AA14; AA10; AA08; AA01; AA69; AA71,http://www.klinikum-nf.de,http://www.klinikum-nf.de,
Klinikum Nordfriesland gGmbH,260100476,773753000,2,Erichsenweg,16,25813,Husum,+494841-660-0,husum@klinikum-nf.de,135,4286,98,9598,0,Kreis Nordfriesland,öffentlich,Ja,Universität Hamburg,,ja,ja,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Ja,6,"Allgemein- und Viszeralchirurgie; Geriatrie; Intensivmedizin; Innere Medizin; Hals-, Nasen-, Ohrenheilkunde; Orthopädie und Unfallchirurgie",,AA23; AA18; AA57; AA14; AA08; AA10; AA71,http://www.klinikum-nf.de,http://www.klinikum-nf.de,
"Klinikum Nordfriesland gGmbH, Inselklinik Föhr-Amrum",260100498,,1,Rebbelstieg,24,25938,Wyk,+494681-48-0,wyk@klinikum-nf.de,18,924,0,4400,0,Kreis Nordfriesland,öffentlich,Ja,Universität Hamburg,,nein,nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,3,Allgemeine Chirurgie; Frauenheilkunde; Innere Medizin,,AA18; AA08,http://www.klinikum-nf.de,http://www.klinikum-nf.de,
DIAKO Nordfriesland gGmbH - Fachklinik für Psychiatrie und Psychosomatik Breklum,260100546,772751000,4,Gammeltoft,8-15,25821,Breklum,+494671-408-0,info.nf@diako-nf.de,0,0,123,0,0,DIAKO Nordfriesland gGmbH,freigemeinnützig,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Allgemeine Psychiatrie/Tagesklinik (für teilstationäre Pflegesätze),,AA10,http://www.diako-nf.de,http://www.diako-nf.de,
DIAKO Nordfriesland gGmbH - Fachklinik für Psychiatrie und Psychosomatik Breklum,260100546,772752000,4,Gammeltoft,8-15,25821,Breklum,+494671-408-0,info.nf@diako-nf.de,0,0,213,0,0,DIAKO Nordfriesland gGmbH,freigemeinnützig,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Allgemeine Psychiatrie/Tagesklinik (für teilstationäre Pflegesätze),,AA10,http://www.diako-nf.de,http://www.diako-nf.de,
DIAKO Nordfriesland gGmbH - Fachklinik für Psychiatrie und Psychosomatik Breklum,260100546,772753000,4,Gammeltoft,8-15,25821,Breklum,+494671-408-0,info.nf@diako.de,110,1486,0,0,0,DIAKO Nordfriesland gGmbH,freigemeinnützig,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,2,Allgemeine Psychiatrie; Psychosomatik/Psychotherapie,,AA10,http://www.diako-nf.de,http://www.diako-nf.de,
DIAKO Nordfriesland gGmbH - Fachklinik für Psychiatrie und Psychosomatik Breklum,260100546,773812000,4,Gammeltoft,8-15,25821,Breklum,+494671-408-0,info.nf@diako.de,0,0,148,0,0,DIAKO Nordfriesland gGmbH,freigemeinnützig,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Allgemeine Psychiatrie/Tagesklinik (für teilstationäre Pflegesätze),,AA10,http://www.diako-nf.de,http://www.diako-nf.de,
Asklepios Nordseeklinik Westerland,260100557,,1,Norderstr.,81,25980,Sylt/OT Westerland,+494651-84-0,geschaeftsfuehrung.sylt@asklepios.com,82,2964,0,11140,0,Asklepios Kliniken Verwaltungsgesellschaft mbH,privat,Nein,,,ja,ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,5,Innere Medizin; Allgemeine Chirurgie; Urologie; Frauenheilkunde; Dermatologie,,AA08; AA10; AA47; AA22; AA23; AA14; AA01; AA38,https://www.asklepios.de/sylt/akut/,http://www.asklepios.com/sylt/akut,
Klinik Dr. Winkler,260100580,,1,Brinckmannstraße,6,25813,Husum,+494841-6911-0,verwaltung@klinik-winkler.de,13,576,0,0,0,KLW Krankenhausbetriebsgesellschaft mbH &amp; Co. KG,privat,Nein,,,nein,nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,1,Allgemeine Chirurgie,,AA57,https://www.amedes-klinik-husum.de,https://www.amedes-klinik-husum.de,
AMEOS Krankenhausgesellschaft Ostholstein mbH,260100626,773004000,4,Wiesenhof,,23730,Neustadt in Holstein,+494524-9090,info.middelburg@ameos.de,120,1155,69,0,0,AMEOS Krankenhausgesellschaft Ostholstein mbH,privat,Ja,Akademisches Lehrkrankenhaus der Universitätsklinik zu Lübeck,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,1,Geriatrie,,AA08; AA10; AA14; AA43; AA15,https://www.ameos.de/klinikum-middelburg,https://www.ameos.eu,https://www.ameos.de/klinikum-middelburg
AMEOS Krankenhausgesellschaft Ostholstein mbH,260100626,773005000,4,Wiesenhof,,23730,Neustadt in Holstein,+494371-5040,info.fehmarn@ameos.de,28,557,0,1040,0,AMEOS Krankenhausgesellschaft Ostholstein mbH,privat,Nein,,,ja,ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,4,Innere Medizin und Allgemeinmedizin; Allgemeine Chirurgie; Zentrum für Anästhesie; Interdisziplinäres Schmerzzentrum,,,https://www.ameos.de/klinikum-fehmarn,https://www.ameos.eu,https://www.ameos.de/klinikum-fehmarn
AMEOS Krankenhausgesellschaft Ostholstein mbH,260100626,773006000,4,Wiesenhof,,23730,Neustadt in Holstein,+494521-7870,info.eutin@ameos.de,197,11548,670,24285,0,AMEOS Krankenhausgesellschaft Ostholstein mbH,privat,Ja,Universität zu Lübeck,,ja,ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,13,"Zentrum für Innere Medizin, Internistische Intensivmedizin; Zentrum für Innere Medizin, Kardiologie; Zentrum für Innere Medizin, Allgemeine Innere, Gastroenterologie; Zentrum für Chirurgie, Orthopädie, Unfall- und rekonstruktive Chirurgie; Zentrum für Chirurgie, Allgemein- und Viszeralchirurgie, Thoraxchirurgie; Zentrum für Chirurgie, Gefäßchirurgie; Gynäkologie und Geburtshilfe, Mutter-Kind-Zentrum; Neugeborene, Kinder- und Jugendmedizin, Mutter-Kind-Zentrum; Zentrum für Anästhesie; Hämatologie und internistische Onkologie, Onkologische Tagesklinik; Urologie; Hals-Nasen-Ohrenheilkunde; Wirbelsäulenchirurgie mit Skoliosezentrum",,AA08; AA43; AA33; AA47; AA10; AA50; AA69; AA01; AA38; AA14; AA22,https://www.ameos.de/klinikum-eutin,https://www.ameos.eu,https://www.ameos.de/klinikum-eutin
AMEOS Krankenhausgesellschaft mbH,260100626,773007000,4,Wiesenhof,,23730,Neustadt in Holstein,+494361-5130,info.oldenburg@ameos.de,151,5557,451,13485,0,AMEOS Krankenhausgesellschaft Ostholstein mbH,privat,Ja,Universität zu Lübeck,,ja,ja,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Ja,12,"Urologie; Hals-, Nasen-, Ohrenheilkunde; Zentrum für Innere, Kardiologie; Zentrum für Innere, Pneumologie und Intensivmedizin; Geriatrie, Geriatrische Tagesklinik; Zentrum für Chirurgie, Allgemein- und Viszeralchirurgie; Zentrum für Chirurgie, Gefäßchirurgie; Gynäkologie; Zentrum für Anästhesie; Diabetologie; Zentrum für Chirurgie, Orthopädie, Unfall- und rekonstruktive Chirurgie; Klinik für Neurologische Rehabilitation",,AA69; AA01; AA33; AA08; AA14; AA43,https://www.ameos.de/klinikum-oldenburg,https://www.ameos.eu,https://www.ameos.de/klinikum-oldenburg
AMEOS Klinikum Neustadt,260100659,772933000,3,Wiesenhof,36,23730,Neustadt i. H.,+494561-6110,Klinikum.Neustadt@ameos.de,162,2460,623,0,0,AMEOS Krankenhausgesellschaft Holstein mbH,privat,Ja,UKSH,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,2,Klinik für Psychiatrie und Psychotherapie; Klinik für Neurologie und Neurophysiologie,,,http://www.ameos.eu,http://www.ameos.eu,
AMEOS Klinikum Neustadt,260100659,772934000,3,Wiesenhof,36,23730,Neustadt i.H.,+494561-6110,Info.Luebeck@ameos.de,88,912,0,0,0,AMEOS Krankenhausgesellschaft Holstein mbH,privat,Ja,UKSH,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Klinik für Psychiatrie und Psychotherapie,,AA10,http://www.ameos.eu,http://www.ameos.eu,
AMEOS Klinikum Neustadt,260100659,772935000,3,Wiesenhof,36,23730,Neustadt i. H.,+494561-6110,Tagesklinik.Eutin@ameos.de,24,0,211,0,0,AMEOS Krankenhausgesellschaft Holstein mbH,privat,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Tagesklinik für Psychiatrie und Psychotherapie,,,http://www.ameos.eu,http://www.ameos.eu,
AMEOS Klinikum Heiligenhafen,260100660,,5,Friedrich-Ebert-Straße,100,23774,Heiligenhafen,+494362-910,Klinikum.Heiligenhafen@ameos.de,214,1269,548,1892,0,AMEOS Krankenhausgesellschaft Holstein mbH,privat,Ja,FOM Universität Hamburg,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Klinik für Psychiatrie und Psychotherapie,,AA08; AA10,http://www.ameos.eu,http://www.ameos.eu,
AMEOS Klinikum Heiligenhafen,260100660,772927000,5,Friedrich-Ebert-Straße,100,23774,Heiligenhafen,+494362-910,Info.Kiel@ameos.de,43,693,0,1867,0,AMEOS Krankenhausgesellschaft Holstein mbH,privat,Ja,FOM Hochschule,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Klinik für Psychiatrie und Psychotherapie,,,http://www.ameos.eu,http://www.ameos.eu,
AMEOS Klinikum Heiligenhafen,260100660,772928000,5,Friedrich-Ebert-Straße,100,23774,Heiligenhafen,+494362-910,Info.Preetz@ameos.de,71,810,0,0,0,AMEOS Krankenhausgesellschaft Holstein mbH,privat,Ja,FOM Hochschule,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Klinik für Psychiatrie und Psychotherapie,,AA10,http://www.ameos.eu,http://www.ameos.eu,
AMEOS Klinikum Heiligenhafen,260100660,772929000,5,Friedrich-Ebert-Straße,100,23774,Heiligenhafen,+494362-910,info.psychiatrie.oldenburg@ameos.de,17,0,86,0,0,AMEOS Krankenhausgesellschaft Holstein mbH,privat,Ja,FOM Hochschule,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Tagesklinik für Psychiatrie und Psychotherapie,,,http://www.ameos.eu,http://www.ameos.eu,
AMEOS Klinikum Heiligenhafen,260100660,773086000,5,Friedrich-Ebert-Straße,100,23774,Heiligenhafen,+494362-910,info@heiligenhafen.ameos.de,23,812,0,0,0,AMEOS Krankenhausgesellschaft Holstein mbH,privat,Ja,FOM Universität Hamburg,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,1,Klinik für Neurologie und Neurophysiologie,,AA08; AA10; AA43,https://www.ameos.eu,https://www.ameos.eu,
Sankt Elisabeth Krankenhaus Eutin,260100682,,1,Plöner Str.,42,23701,Eutin,+494521-8020,info@sek-eutin.de,118,2320,277,0,0,Elisabeth Vinzenz Verbund,freigemeinnützig,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,4,Innere Medizin; Geriatrie; Tagesklinik; Palliativmedizin,,,http://www.sek-eutin.de,http://www.sek-eutin.de,
Helios Agnes Karll Krankenhaus Bad Schwartau [BSC] [BSC],260100693,,1,Am Hochkamp,21,23611,Bad Schwartau,+49451-20070,postmaster.badschwartau@helios-gesundheit.de,75,3734,0,765,0,Helios Agnes-Karll-Krankenhaus GmbH,privat,Nein,,,nein,nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,10,"Innere Medizin; Palliativmedizin; Allgemeine Chirurgie; Neurochirurgie; Urologie; Orthopädie; Frauenheilkunde; Hals-, Nasen-, Ohrenheilkunde; Mund-, Kiefer- und Gesichtschirurgie und Zahnmedizin; Anästhesie",,AA14; AA08,https://www.helios-gesundheit.de/kliniken/bad-schwartau/,https://www.helios-gesundheit.de/kliniken/bad-schwartau/,
AUGUST-BIER-KLINIK - Neurologie und Rehabilitation,260100706,,1,Diekseepromenade,7-11,23714,Bad Malente-Gremsmühlen,+494523-405-0,info@august-bier-klinik.de,51,726,0,0,0,"AUGUST-BIER-KLINIK, Fachklinik für Neurologie, Neurotraumatologie und Rehabilitation",freigemeinnützig,Ja,Universität zu Lübeck,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,1,Neurologie,,AA08; AA43; AA10,http://www.august-bier-klinik.de,http://www.august-bier-klinik.de,http://www.august-bier-klinik.de/infocenter/
Regio Kliniken GmbH,260100739,772624000,4,Ramskamp,71-75,25337,Elmshorn,+494121-798-9090,info-regiokliniken@sana.de,268,15426,0,959,0,Regio Kliniken GmbH,privat,Ja,Universitätsklinikum Hamburg Eppendorf,,nein,ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Ja,13,"Klinik für Allgemein- und Viszeralchirurgie Pinneberg; Klinik für Anästhesiologie Pinneberg; Klinik für Gynäkologie und Geburtshilfe Pinneberg; Klinik für Neonatologie und Pädiatrie Pinneberg; Klinik für Neurologie Pinneberg; Orthopädisch-Traumatologisches Zentrum - Klinik für Allgemeine Orthopädie, Unfallchirurgie und Sportmedizin Pinneberg; Orthopädisch-Traumatologisches Zentrum - Klinik für Wirbelsäulenchirurgie; Zentrum für Innere Medizin - Klinik für Gastroenterologie und Nephrologie Pinneberg; Zentrum für Innere Medizin - Klinik für Geriatrie und Palliativmedizin Pinneberg; Zentrum für Innere Medizin - Klinik für Kardiologie Pinneberg; Zentrum für Notfall- und Akutmedizin Pinneberg; Belegabteilung für Augenheilkunde Pinneberg; Belegabteilung für Hals-, Nasen-, Ohrenheilkunde Pinneberg",,AA47; AA10; AA69; AA33; AA14; AA32; AA22; AA15; AA43; AA50; AA38; AA23; AA08,https://www.sana.de/regiokliniken,https://www.sana.de/regiokliniken,https://www.sana.de/
Regio Kliniken GmbH,260100739,772625000,4,Ramskamp,71-75,25337,Elmshorn,+494121-798-9090,info-regiokliniken@sana.de,499,12797,245,2716,0,Regio Kliniken GmbH,privat,Ja,Universitätsklinikum Hamburg Eppendorf,,nein,ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,18,"Klinik für Allgemein- und Viszeralchirurgie Elmshorn; Klinik für Anästhesiologie Elmshorn; Klinik für Kinder- und Jugendpsychiatrie und -Psychosomatik Elmshorn; Klinik für Psychiatrie, Psychotherapie, und Psychosomatik Elmshorn; Klinik für Thoraxchirurgie Elmshorn; Klinik für Urologie und urologische Onkologie Elmshorn; Orthopädisch-Traumatologisches Zentrum - Klinik für Allgemeine Orthopädie, Unfallchirurgie und Sportmedizin Elmshorn; Orthopädisch-Traumatologisches Zentrum - Klinik für Hand-, Fuß- und Mikrochirurgie Elmshorn; Tagesklinik für Kinder- und Jugendpsychiatrie Elmshorn; Tagesklinik für Psychiatrie Elmshorn; Zentrum für Innere Medizin - Klinik für Gastroenterologie und Nephrologie Elmshorn; Zentrum für Innere Medizin - Klinik für Gefäßmedizin Elmshorn; Zentrum für Innere Medizin - Klinik für Geriatrie und Palliativmedizin Elmshorn; Zentrum für Innere Medizin - Klinik für Kardiologie Elmshorn; Zentrum für Innere Medizin - Klinik für Pneumologie und Beatmungsmedizin Elmshorn; Zentrum für Notfall- und Akutmedizin Elmshorn; Belegabteilung für Hals-, Nasen-, Ohrenheilkunde Elmshorn; Belegabteilung für Mund-, Kiefer- und Gesichtschirurgie Elmshorn",,AA38; AA01; AA71; AA50; AA32; AA08; AA10; AA69; AA14; AA33; AA15; AA22,https://www.sana.de/regiokliniken,https://www.sana.de/regiokliniken,https://www.sana.de/
Regio Kliniken GmbH,260100739,772626000,4,Ramskamp,71-75,25337,Elmshorn,+494121-798-9090,info-regiokliniken@sana.de,81,0,79,0,0,Regio Kliniken GmbH,privat,Ja,Universitätsklinikum Hamburg Eppendorf,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,1,Tagesklinik Norderstedt,,,https://www.sana.de/regiokliniken,https://www.sana.de/regiokliniken,https://www.sana.de/
Regio Kliniken GmbH,260100739,772628000,4,Ramskamp,71-75,25337,Elmshorn,+494121-798-9090,info-regiokliniken@sana.de,23,0,156,0,0,Regio Kliniken GmbH,privat,Ja,Universitätsklinikum Hamburg Eppendorf,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Tagesklinik Psychiatrie Pinneberg,,,https://www.sana.de/regiokliniken,https://www.sana.de/regiokliniken,https://www.sana.de/
Klinik Preetz,260100820,,1,Am Krankenhaus,5,24211,Preetz,+494342-8010,info@klinik-preetz.de,172,9900,0,10480,0,Kreis Plön,öffentlich,Nein,,,ja,ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,4,Allgemeine Chirurgie; Urologie; Innere Medizin; Frauenheilkunde,,AA14; AA08; AA15; AA38; AA01; AA23; AA47; AA22; AA33; AA21; AA18; AA69; AA50,http://www.klinik-preetz.de,,http://www.klinik-preetz.de
Schön Kliniken Rendsburg und Eckernförde,260100875,773201000,2,Lilienstr.,20-28,24768,Rendsburg,+494331-200-0,Klinik-Rendsburg@schoen-klinik.de,613,22283,742,42596,2405,Schön Klinik Rendsburg-Eckernförde SE & Co. KG,privat,Ja,Christian-Albrechts-Universität zu Kiel,,nein,ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,21,"Klinik für Unfall- und Wiederherstellungschirurgie; Klinik für Neurologie und Stroke Unit; Klinik für Strahlentherapie und Nuklearmedizin; Klinik für Gefäßchirurgie und endovaskuläre Chirurgie; Klinik für Gynäkologie; Klinik für Allgemein-, Viszeral- und Thoraxchirurgie; Klinik für Anästhesie und Schmerztherapie; Klinik für Hals-Nasen-Ohren-Heilkunde; Klinik für Geburtshilfe; Klinik für Urologie; Klinik für Psychiatrie und Psychosomatik; Klinik für Augenheilkunde; Institut für Diagnostische und Interventionelle Radiologie, Neuroradiologie; Klinik für Geriatrie; Geriatrie/Tagesklinik (für teilstationäre Pflegesätze); Klinik für Oralchirurgie / Mund-, Kiefer- und Gesichtschirurgie; Klinik für Kinder- und Jugendmedizin; Klinik für Innere Medizin II - Gastroenterologie, Onkologie und Palliativmedizin; Klinik für Innere Medizin I - Kardiologie, Pneumologie und Nephrologie; Klinik für Intensivmedizin; Zentrale Notaufnahme",,AA01; AA38; AA08; AA10; AA43; AA47; AA50; AA21; AA15; AA22; AA23; AA14; AA57; AA32; AA33; AA69; AA70; AA71; AA72,https://www.schoen-klinik.de/,https://www.schoen-klinik.de/rendsburg,
